Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
-257,1247,-85,459,1192,1.9971,-109,Down
-109,-257,1247,-85,459,1.7072,639,Up
639,-109,-257,1247,-85,1.85702,-1071,Down
-1071,639,-109,-257,1247,1.88966,419,Up
419,-1071,639,-109,-257,1.83497,-1003,Down
-1003,419,-1071,639,-109,1.99529,-458,Down
-458,-1003,419,-1071,639,2.18859,1009,Up
1009,-458,-1003,419,-1071,1.85686,696,Up
696,1009,-458,-1003,419,1.88726,1002,Up
1002,696,1009,-458,-1003,2.26632,466,Up
466,1002,696,1009,-458,1.77586,-151,Down
-151,466,1002,696,1009,1.63175,385,Up
385,-151,466,1002,696,1.68117,18,Up
18,385,-151,466,1002,1681,-0.34,Down
-0.34,18,385,-151,466,1.74218,639,Up
639,-0.34,18,385,-151,1.65411,97,Up
97,639,-0.34,18,385,1.38143,-607,Down
-607,97,639,-0.34,18,1.84068,0.9,Up
0.9,-607,97,639,-0.34,1.8101,172,Up
172,0.9,-607,97,639,1.81379,-687,Down
-687,172,0.9,-607,97,1.62752,125,Up
125,-687,172,0.9,-607,1.54712,-21,Down
-21,125,-687,172,0.9,1.85137,-216,Down
-216,-21,125,-687,172,1.71549,524,Up
524,-216,-21,125,-687,1.82412,-235,Down
-235,524,-216,-21,125,1.66418,226,Up
226,-235,524,-216,-21,1.66135,257,Up
257,226,-235,524,-216,1.69815,222,Up
222,257,226,-235,524,1.84044,363,Up
363,222,257,226,-235,1.77604,495,Up
495,363,222,257,226,2.40737,-71,Down
-71,495,363,222,257,1.71453,-205,Down
-205,-71,495,363,222,1.7207,22,Up
22,-205,-71,495,363,1.82325,-1083,Down
-1083,22,-205,-71,495,2.02992,-763,Down
-763,-1083,22,-205,-71,2.4188,-74,Down
-74,-763,-1083,22,-205,1.73862,914,Up
914,-74,-763,-1083,22,1.77241,-143,Down
-143,914,-74,-763,-1083,1.76928,-0.71,Down
-0.71,-143,914,-74,-763,2.10949,261,Up
261,-0.71,-143,914,-74,1.59382,883,Up
883,261,-0.71,-143,914,1.80582,-834,Down
-834,883,261,-0.71,-143,1.88347,245,Up
245,-834,883,261,-0.71,1.95244,1168,Up
1168,245,-834,883,261,1.90081,625,Up
625,1168,245,-834,883,1.8463,227,Up
227,625,1168,245,-834,1.93201,88,Up
88,227,625,1168,245,1.8125,262,Up
262,88,227,625,1168,2.04871,116,Up
116,262,88,227,625,1.7164,-553,Down
-553,116,262,88,227,1.5821,673,Up
673,-553,116,262,88,2.04128,476,Up
476,673,-553,116,262,2.06334,-661,Down
-661,476,673,-553,116,2.12984,541,Up
541,-661,476,673,-553,1.76699,-377,Down
-377,541,-661,476,673,1.71758,173,Up
173,-377,541,-661,476,1.93418,457,Up
457,173,-377,541,-661,1.9458,0.56,Up
0.56,457,173,-377,541,2.00168,-767,Down
-767,0.56,457,173,-377,1.7896,95,Up
95,-767,0.56,457,173,1.71687,0.71,Up
0.71,95,-767,0.56,457,2.04312,74,Up
74,0.71,95,-767,0.56,1.99998,-737,Down
-737,74,0.71,95,-767,1.98122,-764,Down
-764,-737,74,0.71,95,1.93028,-268,Down
-268,-764,-737,74,0.71,1.80414,674,Up
674,-268,-764,-737,74,1.89752,-183,Down
-183,674,-268,-764,-737,2.17232,706,Up
706,-183,674,-268,-764,1.94156,-599,Down
-599,706,-183,674,-268,1.7093,283,Up
283,-599,706,-183,674,1.56288,-1178,Down
-1178,283,-599,706,-183,1.82041,74,Up
74,-1178,283,-599,706,1.85915,-0.1,Down
-0.1,74,-1178,283,-599,1.80817,57,Up
57,-0.1,74,-1178,283,1.55879,166,Up
166,57,-0.1,74,-1178,1.62133,-339,Down
-339,166,57,-0.1,74,1.67862,-657,Down
-657,-339,166,57,-0.1,1.9308,0.23,Up
0.23,-657,-339,166,57,1.57111,-0.6,Down
-0.6,0.23,-657,-339,166,1.54109,596,Up
596,-0.6,0.23,-657,-339,1.59945,-319,Down
-319,596,-0.6,0.23,-657,1.91647,986,Up
986,-319,596,-0.6,0.23,2.36551,103,Up
103,986,-319,596,-0.6,2.22986,-292,Down
-292,103,986,-319,596,1.64016,1262,Up
1262,-292,103,986,-319,1.93209,241,Up
241,1262,-292,103,986,2.0677,-379,Down
-379,241,1262,-292,103,1.95538,796,Up
796,-379,241,1262,-292,1.99256,-74,Down
-74,796,-379,241,1262,1.93805,-754,Down
-754,-74,796,-379,241,2.08236,-328,Down
-328,-754,-74,796,-379,1.98675,46,Up
46,-328,-754,-74,796,2.07934,829,Up
829,46,-328,-754,-74,3.15247,-557,Down
-557,829,46,-328,-754,2.07654,-786,Down
-786,-557,829,46,-328,2.31925,-912,Down
-912,-786,-557,829,46,2.54815,365,Up
365,-912,-786,-557,829,2.42472,55,Up
55,365,-912,-786,-557,1.97302,28,Up
28,55,365,-912,-786,2.02222,2,Up
2,28,55,365,-912,1.97627,101,Up
101,2,28,55,365,2.10698,887,Up
887,101,2,28,55,2.17612,92,Up
92,887,101,2,28,2.09752,-172,Down
-172,92,887,101,2,2.09749,-997,Down
-997,-172,92,887,101,2.34142,-1489,Down
-1489,-997,-172,92,887,2.54678,-0.41,Down
-0.41,-1489,-997,-172,92,2.79203,0.37,Up
0.37,-0.41,-1489,-997,-172,2.12608,-717,Down
-717,0.37,-0.41,-1489,-997,2.19599,-207,Down
-207,-717,0.37,-0.41,-1489,2.29904,-607,Down
-607,-207,-717,0.37,-0.41,2.49128,-71,Down
-71,-607,-207,-717,0.37,2.35115,827,Up
827,-71,-607,-207,-717,2.18894,297,Up
297,827,-71,-607,-207,2.05457,-1005,Down
-1005,297,827,-71,-607,2.19701,1496,Up
1496,-1005,297,827,-71,2.70359,-1502,Down
-1502,1496,-1005,297,827,2.61725,152,Up
152,-1502,1496,-1005,297,2.47092,1678,Up
1678,152,-1502,1496,-1005,2.19779,-237,Down
-237,1678,152,-1502,1496,2.31247,-431,Down
-431,-237,1678,152,-1502,2.46775,-1048,Down
-1048,-431,-237,1678,152,2.39537,1655,Up
1655,-1048,-431,-237,1678,2.3794,718,Up
718,1655,-1048,-431,-237,2.56747,-352,Down
-352,718,1655,-1048,-431,2.45785,998,Up
998,-352,718,1655,-1048,2.64809,426,Up
426,998,-352,718,1655,2.71663,16,Up
16,426,998,-352,718,2.05051,219,Up
219,16,426,998,-352,1.98758,-345,Down
-345,219,16,426,998,1.96505,169,Up
169,-345,219,16,426,2.21446,845,Up
845,169,-345,219,16,2.37846,305,Up
305,845,169,-345,219,1.77314,-78,Down
-78,305,845,169,-345,1.89978,-385,Down
-385,-78,305,845,169,2.35937,179,Up
179,-385,-78,305,845,2.12158,941,Up
941,179,-385,-78,305,2.29804,0.44,Up
0.44,941,179,-385,-78,2.45329,527,Up
527,0.44,941,179,-385,2.11735,508,Up
508,527,0.44,941,179,2.29142,347,Up
347,508,527,0.44,941,1.9854,209,Up
209,347,508,527,0.44,0.72494,-851,Down
-851,209,347,508,527,2.0169,2,Up
2,-851,209,347,508,2.26834,-636,Down
-636,2,-851,209,347,2.37469,1216,Up
1216,-636,2,-851,209,2.61483,32,Up
32,1216,-636,2,-851,2.12558,-236,Down
-236,32,1216,-636,2,2.32584,128,Up
128,-236,32,1216,-636,2.11074,-501,Down
-501,128,-236,32,1216,2.09383,-122,Down
-122,-501,128,-236,32,2.1783,281,Up
281,-122,-501,128,-236,1.89629,84,Up
84,281,-122,-501,128,1.87655,555,Up
555,84,281,-122,-501,2.39002,419,Up
419,555,84,281,-122,2.14552,-141,Down
-141,419,555,84,281,2.18059,-285,Down
-285,-141,419,555,84,2.58419,-584,Down
-584,-285,-141,419,555,2.20881,-24,Down
-24,-584,-285,-141,419,1.99669,252,Up
252,-24,-584,-285,-141,2.06517,422,Up
422,252,-24,-584,-285,1.8885,43,Up
43,422,252,-24,-584,1.28581,-955,Down
-955,43,422,252,-24,1.54047,0.13,Up
0.13,-955,43,422,252,1.42236,-298,Down
-298,0.13,-955,43,422,1.38254,-489,Down
